RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.160D+01  2.079D+03
    1    3     1     0  ---    1  2.0D-03  4.3D-02  2.040D+00  2.079D+03
    2    4     0     0  con    0  1.0D+00  5.9D-03  1.009D+00  2.079D+03
    3    5     0     0  con    0  1.0D+00  6.9D-03  1.161D+00  2.079D+03
    4    6     0     0  con    0  1.0D+00  4.5D-02  4.760D+00  2.079D+03
    5    7     0     0  con    0  1.0D+00  1.2D-01  1.044D+01  2.079D+03
    6   12     0     0  con    4  5.7D+00  3.2D+00  1.251D+02  2.069D+03
    7   15     0     0  con    2  2.0D-02  9.1D-02  1.290D+02  2.069D+03
    8   16     0     0  con    0  1.0D+00  1.7D-01  1.102D+02  2.063D+03
    9   17     0     0  con    0  1.0D+00  7.6D-01  1.929D+01  2.048D+03
   10   18     0     0  con    0  1.0D+00  7.3D-02  5.510D+00  2.047D+03
   11   19     0     0  con    0  1.0D+00  1.4D-01  4.946D+00  2.047D+03
   12   20     0     0  con    0  1.0D+00  3.0D-01  5.137D+00  2.045D+03
   13   24     0     0  con    3  2.4D+00  6.7D+00  1.069D+02  1.952D+03
   14   26     0     0  con    1  2.8D-02  7.4D-01  1.166D+02  1.951D+03
   15   30     0     0  con    3  1.3D+01  8.3D+00  3.072D+02  8.012D+02
   16   34     0     0  con    3  2.9D-02  2.7D+00  4.110D+02  6.896D+02
   17   35     0     0  con    0  1.0D+00  6.5D+00  1.935D+02  3.806D+02
   18   36     0     0  con    0  1.0D+00  7.2D-01  2.179D+02  2.220D+02
   19   38     0     0  con    1  1.3D-01  3.2D+00  1.814D+02 -1.499D+02
   20   39     0     0  con    0  1.0D+00  6.4D-01  5.946D+01 -2.023D+02
   21   40     0     0  con    0  1.0D+00  5.9D-01  4.658D+01 -2.409D+02
   22   41     0     0  con    0  1.0D+00  2.5D+00  3.620D+01 -3.331D+02
   23   42     0     0  con    0  1.0D+00  2.0D+00  1.966D+01 -3.622D+02
   24   43     0     0  con    0  1.0D+00  2.0D+00  1.226D+01 -3.808D+02
   25   44     0     0  con    0  1.0D+00  4.2D+00  4.547D+01 -4.024D+02
   26   45     0     0  con    0  1.0D+00  2.5D+00  2.356D+01 -4.141D+02
   27   46     0     0  con    0  1.0D+00  2.2D+00  1.442D+01 -4.199D+02
   28   47     0     0  con    0  1.0D+00  2.6D+00  9.961D+00 -4.240D+02
   29   48     0     0  con    0  1.0D+00  7.1D-01  2.073D+00 -4.244D+02
   30   49     0     0  con    0  1.0D+00  2.9D-01  2.021D+00 -4.246D+02
   31   51     0     0  con    1  3.8D-01  2.2D-01  7.297D+00 -4.248D+02
   32   52     0     0  con    0  1.0D+00  2.9D-01  5.893D+00 -4.251D+02
   33   53     0     0  con    0  1.0D+00  4.8D-01  3.219D+00 -4.256D+02
   34   54     0     0  con    0  1.0D+00  4.5D-01  2.183D+00 -4.260D+02
   35   55     0     0  con    0  1.0D+00  3.5D-01  3.215D+00 -4.264D+02
   36   56     0     0  con    0  1.0D+00  9.7D-01  5.800D+00 -4.267D+02
   37   57     0     0  con    0  1.0D+00  5.8D-01  4.443D+00 -4.268D+02
   38   58     0     0  con    0  1.0D+00  1.5D-01  8.463D-01 -4.268D+02
   39   59     0     0  con    0  1.0D+00  2.8D-01  2.146D-01 -4.269D+02
   40   60     0     0  con    0  1.0D+00  2.9D-01  3.347D-01 -4.269D+02
   41   62     0     0  con    1  4.8D-01  1.4D-01  5.460D-01 -4.269D+02
   42   63     0     0  con    0  1.0D+00  1.7D-01  1.821D-01 -4.269D+02
   43   65     0     0  con    1  4.2D-01  3.4D-02  1.728D-01 -4.269D+02
   44   66     0     0  con    0  1.0D+00  3.5D-02  4.147D-02 -4.269D+02
   45   67     0     0  con    0  1.0D+00  1.1D-02  4.176D-02 -4.269D+02
   46   68     0     0  con    0  1.0D+00  3.2D-03  4.182D-02 -4.269D+02
   47   69     0     0  con    0  1.0D+00  8.0D-03  7.713D-02 -4.269D+02
   48   70     0     0  con    0  1.0D+00  2.0D-02  1.332D-01 -4.269D+02
   49   71     0     0  con    0  1.0D+00  4.6D-02  3.511D-01 -4.269D+02
   50   72     0     0  con    0  1.0D+00  9.6D-02  3.243D-01 -4.269D+02
   51   73     0     0  con    0  1.0D+00  1.1D-01  3.450D-01 -4.269D+02
   52   74     0     0  con    0  1.0D+00  3.6D-01  4.308D-01 -4.269D+02
   53   75     0     0  con    0  1.0D+00  4.2D-01  5.007D-01 -4.269D+02
   54   77     0     0  con    1  3.7D-01  3.8D-01  8.439D-01 -4.269D+02
   55   78     0     0  con    0  1.0D+00  3.7D-01  2.210D-01 -4.269D+02
   56   79     0     0  con    0  1.0D+00  3.1D-01  4.231D-01 -4.269D+02
   57   80     0     0  con    0  1.0D+00  2.9D-01  3.473D-01 -4.269D+02
   58   81     0     0  con    0  1.0D+00  8.6D-02  1.507D-01 -4.269D+02
   59   82     0     0  con    0  1.0D+00  9.3D-02  7.344D-02 -4.269D+02
   60   83     0     0  con    0  1.0D+00  1.0D-01  1.332D-01 -4.269D+02
